file_id,mean,sd,se
gleditsch_abhandlungen03_1789,33.26683168316832,25.455232948433714,0.5663714995255015
gleim_versuch01_1744,15.772058823529411,15.087260624876734,0.5785700338447978
gleim_versuch02_1745,15.439263803680982,11.63409922656733,0.40752472139038665
glueck_pandecten01_1790,27.22351355903655,28.90933055452935,0.3751928128442928
glueck_pandecten01verbesserungen_1798,20.09699655342196,18.888105722197093,0.41911523051715716
glueck_pandecten02_1791,23.50382209867964,24.572289692910864,0.28968781470131905
glueck_pandecten02verbesserungen_1800,19.334084084084083,18.365082474265694,0.3558162454948142
gluemer_arm_1910,24.864335664335666,17.861192167867177,0.6679707142124018
goerres_revolution_1819,63.019867549668874,34.617238422562494,1.1500807131693518
goerres_volksbuecher_1807,41.410146699266505,34.26478824530054,0.8471423679778006
goerres_wunderhorn_1809,45.51379310344828,29.984219888301027,1.7607340184785267
goethe_divan_1819,21.686501190071404,17.72049578260654,0.32675960028107887
goethe_farbenlehre01_1810,21.175877056814652,19.843306890064362,0.24723143455309685
goethe_farbenlehre02_1810,26.66589095744681,19.866271289969372,0.25613117865519375
goethe_faust01_1808,10.123931623931623,10.034598119738439,0.16399555007566594
goethe_faust02_1832,12.501688476150274,10.882279158416004,0.1580965286947515
goethe_faustfragment_1790,9.437275985663083,9.658369510033149,0.21855094816623763
goethe_goetz_1773,7.42037422037422,7.70589028790423,0.1111092671996059
goethe_iphigenie_1787,12.691983122362869,12.401138645128668,0.3288605393735085
goethe_leben01_1811,30.24177505738332,18.197593005229503,0.3559271819219515
goethe_leben02_1812,34.06150253016738,20.131211746211587,0.3971804511441144
goethe_leben03_1814,33.16949152542373,19.04060035121607,0.3871352377725764
goethe_lehrjahre01_1795,28.758266818700115,18.852317409894333,0.4501424275576121
goethe_lehrjahre02_1795,28.579444444444444,18.01001264729027,0.42450006907181453
goethe_lehrjahre03_1795,27.8432,17.801045332825318,0.41109753259053716
goethe_lehrjahre04_1796,27.768169959001117,18.787299977918337,0.3627054100560054
goethe_melusine_1910,27.696658097686374,16.226347231370582,0.8227084626911086
goethe_metamorphose_1790,23.132411067193676,20.440598723017917,0.9086954513103376
goethe_reineke_1794,19.20568757304246,12.978599162781407,0.2561621061576934
goethe_torquato_1790,14.093162000917852,12.302808031165286,0.2635576535367885
goethe_wahlverw01_1809,23.17338282078473,15.236705364158167,0.35084898573637185
goethe_wahlverw02_1809,24.765186319550793,16.03752599035188,0.3623432331746644
goethe_werther01_1774,24.81159420289855,20.353900561615475,0.707346941563536
