88845	alexis_ruhe01_1852
82925	alexis_ruhe02_1852
78213	alexis_ruhe03_1852
88809	alexis_ruhe04_1852
98092	alexis_ruhe05_1852
27620	alexis_sacken_1910
38845	altenberg_prodromos_1906
48623	altmann_elementarorganismen_1890
23342	andolt_nacht_1910
18223	andreas_erotik_1910
45147	andreas_fenitschka_1898
15533	anhaltkoethen_fruchtbringende_1628
48399	anonym_annus_1597
119845	anonym_aviso_1609
75376	anonym_fuehrer_1921
788	anonym_mercurius_1673
105114	anonym_relation_1609
1435	anonym_warhafftige_1626
86813	anthus_esskunst_1838
23537	anzengruber_gwissenswurm_1874
30196	arends_exter_1708
74679	arent_dichtercharaktere_1885
91561	arndt_christentum01_1610
133349	arndt_christentum02_1610
34706	arndt_christentum03_1610
58635	arndt_christentum04_1610
10488	arnim_invalide_1910
83314	arnim_wunderhorn01_1806
80141	arnim_wunderhorn02_1808
57360	arnim_wunderhorn03_1808
9120	arnima_invalide_1818
82040	arnimb_goethe01_1835
70877	arnimb_goethe02_1835
53489	arnimb_goethe03_1835
100657	arnimb_guenderode01_1840
70254	arnimb_guenderode02_1840
44427	arnold_cyprian_1700
1271497	arnold_ketzerhistorie02_1700
13274	arrhenius_planeten_1911
8022	aston_emancipation_1846
27907	aston_leben_1847
76438	auerbach_diethelm_1910
845	august_gesindlein_1650
409	august_gesindlein_1680
684	august_uhrkunde_1685
557	august_verboht_1669
539	august_ziegeuner_1669
288	august_ziegeuner_1697
707	august_zigeuner_1685
655	august_zigeuner_1698
102450	avelallemant_gaunerthum01_1858
139496	avelallemant_gaunerthum02_1858
163504	avelallemant_gaunerthum03_1862
248538	avelallemant_gaunerthum04_1862
586	baader_arbeit_1911
540	bach_bwv214_1733
37768	bach_versuch01_1759
61028	bach_versuch02_1762
15051	bachstrom_schwimmen_1742
14380	bacmeister_predigt_1614
126740	baer_thiere_1828
149267	baer_thiere_1837
3628	baeumer_rabiatheit_1906
42830	bahr_phantom_1913
297	bake_ball_1891
9252	bakunin_aufruf_1848
4208	bakunin_russland_1848
111480	ball_intelligenz_1919
258339	barclay_argenis_1626
28132	basedow_philanthropinum_1774
39196	basedow_weisheit_1768
92467	basteln_kichote_1648
81775	bastian_voelkergedanke_1881
118280	bauer_buehnenleben_1871
600618	bauller_lasterspiegel_1681
318827	baumgart_poetik_1887
405549	baumstark_encyclopaedie_1835
577	bebel_wahlrecht_1911
59753	becher_discurs_1668
38762	becher_narrheit_1682
92076	becher_psychosophia_1683
182385	bechstein_dunkelgraf_1854
417681	beck_eisen01_1884
532505	beck_eisen02_1895
459498	beck_eisen03_1897
350160	beck_eisen04_1899
387782	beck_eisen05_1903
118409	becke_soldaten_1605
24331	becker_arbeiter_1860
108138	beckmann_technologie_1777
7858	beer_antonius_1697
48731	beer_europa_1682
38731	beer_lebensbeschreibung_1680
9935	beer_nero_1685
8493	beer_paria_1829
73892	behrens_hercynia_1703
14131	beier_buchhandel_1690
68327	bengel_abriss01_1751
38992	benner_herrnhuterey01_1746
50778	benner_herrnhuterey02_1747
56749	benner_herrnhuterey03_1748
40128	benner_herrnhuterey04_1748
12049	benner_meineid_1739
142469	berg_ostasien01_1864
135823	berg_ostasien02_1866
164402	berg_ostasien03_1873
158945	berg_ostasien04_1873
27954	berg_ostasienbotanik_1866
146693	berg_ostasienzoologie01_1876
161862	berg_ostasienzoologie02_1867
7145	bergmann_transfusion_1883
135208	berlepsch_alpen_1861
21909	berlin_wortblindheit_1887
182592	bernd_lebensbeschreibung_1738
8237	bernoulli_comet_1681
30706	berthold_irrwischfritze_1910
260546	beseler_kommentar_1851
98507	beseler_volksrecht_1843
324228	beyer_poetik01_1882
280138	beyer_poetik02_1883
116391	beyer_poetik03_1884
73136	bierbaum_stilpe_1897
55375	birken_friedensvergleich_1652
22812	birken_gespraechspiel_1665
154898	birken_sonntagswandel_1681
124493	bismarck_erinnerungen01_1898
100201	bismarck_erinnerungen02_1898
3380	blacker_frauenstimmrecht_1894
2110	bletzacher_stillenacht_1891
31774	blum_spatziergaenge01_1774
33156	blum_spatziergaenge02_1775
73494	blumenbach_anatomie2_1805
73391	blumenbach_anatomie_1805
77015	blumenbach_anatomie_1815
81853	blumenbach_anatomie_1824
16008	blumenbach_beytraege0101_1790
16471	blumenbach_beytraege0102_1806
16188	blumenbach_beytraege02_1811
10790	blumenbach_bildungstrieb_1781
13404	blumenbach_bildungstrieb_1789
13868	blumenbach_bildungstrieb_1791
23240	blumenbach_kleineschriften_1800
24177	blumenbach_kleineschriften_1804
93991	blumenbach_knochen_1786
100601	blumenbach_knochen_1807
71994	blumenbach_menschengeschlecht2_1798
71917	blumenbach_menschengeschlecht_1798
100209	blumenbach_naturgeschichte_1779
26524	blumenbach_naturgeschichte_1780
125630	blumenbach_naturgeschichte_1782
152725	blumenbach_naturgeschichte_1788
159187	blumenbach_naturgeschichte_1791
159485	blumenbach_naturgeschichte_1797
160165	blumenbach_naturgeschichte_1799
166447	blumenbach_naturgeschichte_1803
168463	blumenbach_naturgeschichte_1807
174373	blumenbach_naturgeschichte_1814
175325	blumenbach_naturgeschichte_1815
175304	blumenbach_naturgeschichte_1816
178203	blumenbach_naturgeschichte_1821
180615	blumenbach_naturgeschichte_1825
182228	blumenbach_naturgeschichte_1830
182162	blumenbach_naturgeschichte_1832
3791	blumenbach_nutritionskraft_1789
86358	blumenbach_physiologie_1789
86238	blumenbach_physiologie_1795
194546	bluntschli_staatslehre_1875
186371	bluntschli_voelkerrecht_1868
45262	bodmer_sammlung01_1741
46365	bodmer_sammlung02_1741
56763	bodmer_sammlung03_1742
22695	bodmer_sammlung04_1742
25001	bodmer_sammlung05_1742
33985	bodmer_sammlung06_1742
22017	bodmer_sammlung07_1743
22458	bodmer_sammlung08_1743
26153	bodmer_sammlung09_1743
31952	bodmer_sammlung10_1743
20971	bodmer_sammlung11_1743
21559	bodmer_sammlung12_1744
191554	boeheim_waffenkunde_1890
11979	boehmemi_viehartzney_1712
128031	boelsche_liebesleben01_1898
121975	boelsche_liebesleben02_1900
118411	boelsche_liebesleben03_1903
46747	boerne_paris01_1832
44919	boerne_paris02_1832
47529	boerne_paris03_1833
56335	boerne_paris04_1833
44112	boerne_paris05_1834
44807	boerne_paris06_1834
11597	boettiger_predigt_1652
6271	bohrer_lehrerinnen_1911
60390	bohse_helicon01_1703
127246	bohse_helicon_1696
62538	boltzmann_gastheorie01_1896
85075	boltzmann_gastheorie02_1898
41953	borinski_poetik_1895
8363	bose_electricitaet_1744
160651	bossmann_gvinea_1708
82586	braeker_lebensgeschichte_1789
90552	braeuner_pest_1714
183	brandenburg_zigeuner_1684
143354	brandes_naturlehre01_1830
141303	brandes_naturlehre02_1831
201539	brandes_naturlehre03_1832
11876	braun_vagabundenfrage_1883
488975	brehm_thierleben01_1864
591223	brehm_thierleben02_1865
628454	brehm_thierleben03_1866
676089	brehm_thierleben04_1867
510573	brehm_thierleben05_1869
686236	brehm_thierleben06_1869
4858	breitscheid_notwendigkeit_1909
62011	bremscheid_mann_1901
15305	brentano_annerl_1910
117783	brentano_gockel_1838
14733	brentano_kasperl_1838
115038	brockes_vergnuegen02_1727
148845	brockes_vergnuegen03_1730
109526	brockes_vergnuegen04_1735
97723	brockes_vergnuegen05_1736
152364	brockes_vergnuegen06_1740
140088	brockes_vergnuegen07_1743
117060	brockes_vergnuegen08_1746
115854	brockes_vergnuegen09_1748
151687	bruce_reisen_1784
316421	bruemmer_lexikon01_1913
317267	bruemmer_lexikon02_1913
319583	bruemmer_lexikon03_1913
317967	bruemmer_lexikon04_1913
316614	bruemmer_lexikon05_1913
312839	bruemmer_lexikon06_1913
317410	bruemmer_lexikon07_1913
180945	bruemmer_lexikon08_1913
13693	brunfels_apodixis_1531
233873	brunn_griechen01_1853
158016	brunn_griechen0201_1856
311552	brunn_griechen02_1859
191138	brunner_rechtsgeschichte01_1887
332530	brunner_rechtsgeschichte02_1892
8168	bucer_dialogus_1521
631039	buchholtz_herkules01_1659
602624	buchholtz_herkules02_1660
52659	buchner_theoria01_1682
54640	buchner_theoria02_1683
30401	buchner_theoria03_1685
68583	buecher_volkswirtschaft_1893
28100	buechner_danton_1835
58019	buechner_kraft_1855
172909	buechner_werke_1879
111151	buerger_candidatus_1692
46753	buerger_gedichte_1778
16349	buerger_muenchhausen_1786
67829	buesch_handlung01_1792
82723	buesch_handlung02_1792
401375	burckhardt_cicerone_1855
184284	burckhardt_rechtsgemeinschaft_1927
186931	burckhardt_renaissance_1860
55729	burdach_propaedeutik_1800
31509	burdel_trunksucht_1855
45833	buri_causalitaet_1873
2723	busch_max_1865
83793	butschky_kantzeley_1649
88521	calvi_beutelschneider01_1627
96500	calvi_beutelschneider02_1627
53328	campe_robinson01_1779
63732	campe_robinson02_1780
49604	campe_theophron01_1783
34949	campe_theophron02_1783
184777	cancrin_beschreibung_1767
16184	candidus_christus_1854
28467	canitz_gedichte_1700
421101	cantemir_geschichte_1745
139232	carus_gynaekologie01_1820
189549	carus_gynaekologie02_1820
157062	carus_psyche_1846
274622	carus_zoologie_1872
12659	caselius_leichpredigt_1649
224748	chamberlain_grundlagen01_1899
219637	chamberlain_grundlagen02_1899
25904	chamisso_schlemihl_1814
25043	chamisso_schlemihl_1910
109603	chladni_geschichtswissenschaft_1752
169324	christ_pomologie01_1809
54783	clauren_liebe_1827
99341	clausewitz_krieg03_1834
23605	clausius_waermetheorie_1856
136389	clodius_poetik01_1804
74522	clodius_poetik02_1804
26417	collin_coriolan_1804
118336	conradi_adam_1889
480612	corvinus_frauenzimmer_1715
119859	crueger_cupediae_1631
119988	cundisius_predigten_1648
124366	curtius_alterthum01_1875
52699	curtius_sprachforschung_1885
28994	cuthbertson_beschreibung_1790
10956	cuthbertson_luftpumpe_1788
7759	czepko_siebengestirne_1671
5254	czepko_triumphbogen_1641
21143	d_untreue_1763
670	dach_einfaeltig_1653
1269	dach_lehr_1656
1336	dach_seligen_1658
16100	daguerre_daguerrereotyp_1839
113896	dahlmann_geschichte_1845
89406	dahlmann_politik_1835
278739	dannhauer_catechismus04_1653
401849	dannhauer_catechismus05_1654
361853	dannhauer_catechismus06_1657
541354	dannhauer_catechismus08_1666
242417	dannhauer_catechismus09_1672
159888	dannhauer_catechismus10_1673
158378	dannhauer_catechismus11_1678
192807	darjes_cameralwissenschaften_1756
183157	darwin_pflanzen_1876
37956	daumer_krone_1859
160080	davidis_kochbuch_1849
204438	davidis_kochbuch_1879
8655	decker_baumeister01_1711
50604	deckhardt_kochbuch_1611
90309	dehio_aufsaetze_1914
14806	delbrueck_sprachforschung_1885
4478	dery_liebe_1896
15557	devrient_nationaltheater_1849
33393	dickens_weihnachtsabend_1844
19941	diefenbach_reformation_1897
24533	diesterweg_universitaeten_1836
92984	dietz_leben_1915
44911	dilger_arndes_1620
86814	dilich_kriegsbuch_1607
172523	dilthey_geisteswissenschaften_1883
58911	dilthey_poetik_1887
9491	dincklage_striethast_1910
8525	dohm_erziehung_1910
37757	dohm_frauenfrage_1876
46121	dohm_jesuitismus_1873
74874	dohm_juden02_1783
10104	doyle_fechtkunst_1715
36486	dronke_polizeigeschichten_1846
99945	droste_gedichte_1844
19894	droste_judenbuche_1910
51971	droste_letzte_1860
223844	droysen_alexander_1833
27657	droysen_historik_1868
195575	drude_pflanzengeographie_1890
27543	druskowitz_religionsersatz_1886
8678	dubois_naturerkennen_1872
42317	duehring_berufsbildung_1885
1402	dullo_krone_1906
14492	duras_urika_1824
38820	ebbinghaus_gedaechtnis_1885
72460	ebeling_betrachtungen01_1747
65757	ebeling_betrachtungen02_1747
63501	ebeling_betrachtungen03_1747
59178	ebeling_betrachtungen04_1747
65388	ebers_koenigstochter01_1864
73982	ebers_koenigstochter02_1864
86599	ebers_koenigstochter03_1864
238	eck_sanders_1877
15508	eckarth_bertzdorff_1749
7478	eckarth_chronica_1732
1382	eckarth_chronica_1733
